Player,Draft pick,Height (No Shoes),Wingspan,Standing reach,Vertical (Max),Weight,Body Fat,Hand (Width),Bench,Agility,Sprint
Jon Diebler,51.0,77.25,78.0,99.0,35.0,197.0,8.5,8.25,2.0,10.94,3.37
Thanasis Antetokounmpo,51.0,77.25,84.0,104.5,39.5,205.0,6.1,9.75,,11.39,3.18
Tyler Harvey,51.0,74.75,77.5,98.5,28.5,181.0,9.2,8.75,1.0,10.52,3.44
Luke Harangody,52.0,78.25,81.75,106.0,31.0,240.0,11.2,9.75,23.0,11.15,3.33
Edmond Sumner,52.0,76.0,81.0,102.5,,176.0,8.3,9.0,,,
Joel Bolomboy,52.0,79.5,85.75,103.5,40.5,224.0,5.2,10.25,,10.26,3.17
A.J. Price,52.0,72.5,75.75,97.0,31.0,193.0,12.4,,11.0,10.99,3.22
Lorenzo Brown,52.0,76.0,79.0,100.0,34.0,189.0,4.0,8.5,8.0,11.78,3.4
DeAndre Liggins,53.0,77.0,83.0,103.5,31.0,202.0,5.0,10.0,6.0,,3.33
Colton Iverson,53.0,82.5,86.0,110.0,,263.0,9.6,9.5,12.0,,
Kadeem Allen,53.0,73.0,81.25,99.5,35.5,192.0,6.4,8.75,,11.24,3.15
Willie Warren,54.0,74.5,78.0,99.5,31.5,208.0,7.6,9.5,10.0,11.21,3.5
Kay Felder,54.0,68.25,74.5,88.5,44.0,177.0,5.8,8.5,,11.52,3.15
Alec Peters,54.0,79.25,82.75,105.0,,232.0,8.8,10.0,,,
E'Twaun Moore,55.0,74.5,81.5,99.5,34.5,191.0,7.6,10.0,,11.12,3.31
Semaj Christon,55.0,73.5,78.5,99.0,36.5,186.0,5.3,8.25,,11.55,3.32
Nigel Williams-Goss,55.0,73.5,79.25,99.0,34.5,190.0,5.6,9.25,,10.42,3.19
Darius Johnson-Odom,55.0,73.5,79.0,96.0,41.5,212.0,7.0,8.75,17.0,10.76,3.21
